gain	0	1	-56.90
gain	1	0	-59.18
gain	0	2	-200.08
gain	2	0	-200.13
gain	0	3	-200.89
gain	3	0	-200.96
gain	0	4	-57.25
gain	4	0	-60.87
gain	0	5	-200.02
gain	5	0	-200.14
gain	0	6	-200.00
gain	6	0	-200.60
gain	0	7	-200.79
gain	7	0	-200.99
gain	0	8	-174.68
gain	8	0	-170.80
gain	0	9	-168.33
gain	9	0	-167.86
gain	0	10	-166.02
gain	10	0	-167.64
gain	0	11	-171.66
gain	11	0	-172.40
gain	0	12	-168.03
gain	12	0	-169.03
gain	0	13	-169.40
gain	13	0	-166.19
gain	0	14	-165.94
gain	14	0	-167.48
gain	0	15	-178.84
gain	15	0	-181.15
gain	1	2	-55.93
gain	2	1	-50.69
gain	1	3	-166.06
gain	3	1	-161.85
gain	1	4	-169.29
gain	4	1	-170.62
gain	1	5	-56.73
gain	5	1	-54.57
gain	1	6	-158.37
gain	6	1	-158.68
gain	1	7	-161.14
gain	7	1	-159.06
gain	1	8	-172.08
gain	8	1	-165.92
gain	1	9	-168.97
gain	9	1	-166.23
gain	1	10	-166.64
gain	10	1	-165.97
gain	1	11	-174.07
gain	11	1	-172.52
gain	1	12	-171.27
gain	12	1	-169.98
gain	1	13	-165.72
gain	13	1	-160.22
gain	1	14	-171.54
gain	14	1	-170.79
gain	1	15	-176.00
gain	15	1	-176.02
gain	2	3	-50.22
gain	3	2	-51.24
gain	2	4	-159.32
gain	4	2	-165.89
gain	2	5	-156.01
gain	5	2	-159.08
gain	2	6	-52.61
gain	6	2	-58.15
gain	2	7	-151.09
gain	7	2	-154.24
gain	2	8	-162.56
gain	8	2	-161.64
gain	2	9	-159.57
gain	9	2	-162.06
gain	2	10	-156.46
gain	10	2	-161.03
gain	2	11	-157.77
gain	11	2	-161.46
gain	2	12	-176.63
gain	12	2	-180.58
gain	2	13	-167.58
gain	13	2	-167.32
gain	2	14	-160.35
gain	14	2	-164.84
gain	2	15	-171.68
gain	15	2	-176.94
gain	3	4	-170.23
gain	4	3	-175.78
gain	3	5	-166.45
gain	5	3	-168.50
gain	3	6	-158.43
gain	6	3	-162.95
gain	3	7	-56.61
gain	7	3	-58.73
gain	3	8	-169.43
